Warmmiete_in_Euro,Kaution_Genossenschaftsanteile_in_Euro,Etage,Wohnflache_qm,Ort,Verfugbar_ab_Jahr,Heizkosten_in_Euro,Wohnungstyp,Verfugbar_ab_Monat,Erstellungsdatum,Ausstattung,Anzeigennummer,Heizungsart,Zimmer
,600,2,42,Seestr. 17429 Mecklenburg-Vorpommern - Seebad Bansin,2017,,Etagenwohnung,09,27.06.2017,,674590409,Gasheizung,42
,780,2,44,18106 Rostock - Evershagen,2017,,Etagenwohnung,10,14.08.2017,Balkon Dusche Keller WG-geeignet,700002621,,44
313,485,0,24,Reinherstraße 12 33100 Nordrhein-Westfalen - Paderborn,2017,30,Hochparterre,10,14.08.2017,Einbauküche Dusche Keller Garage/Stellplatz,700002814,Zentralheizung,24
490,660,1,60,44534 Nordrhein-Westfalen - Lünen,2017,,Etagenwohnung,09,14.08.2017,Dusche Keller Haustiere erlaubt,700003470,Zentralheizung,60
,,,80,59065 Nordrhein-Westfalen - Hamm,,,,,14.08.2017,,700003945,,80
660,1.590,1,77,"Holsten-Mündruper-Str., Nähe Kreuzung Meller-Landstr. 49086 Niedersachsen - Osnabrück",2017,65,Etagenwohnung,10,14.08.2017,Balkon Badewanne Dusche Neubau Keller,700004044,Zentralheizung,77
800,1.950,2,100,Im Birkenfeld 1 66125 Saarbrücken - Dudweiler,2017,,Sonstige,08,14.08.2017,Einbauküche Badewanne Dusche Gäste WC Keller Garage/Stellplatz Haustiere erlaubt WG-geeignet,677453061,Gasheizung,100
700,1.500,,55,74074 Baden-Württemberg - Heilbronn,2017,,,11,14.08.2017,,700004774,,55
915,1.920,,120,63486 Hessen - Bruchköbel,2017,,Etagenwohnung,10,14.08.2017,Balkon Terrasse Einbauküche Badewanne Dusche Gäste WC Altbau Keller Dachboden Haustiere erlaubt,700004986,Zentralheizung,120
495,750,1,40,Chlodwig-Strasse 29 56068 Rheinland-Pfalz - Koblenz,2017,,Hochparterre,09,14.08.2017,Einbauküche Dusche Aufzug Keller,698805809,Zentralheizung,40
,740,1,67,59269 Nordrhein-Westfalen - Beckum,2017,,,12,14.08.2017,Balkon Badewanne Dusche Keller Garage/Stellplatz Garten/-mitnutzung,700005356,,67
,,1,80,65623 Rheinland-Pfalz - Hahnstätten,,,,,14.08.2017,,700005384,,80
600,1.200,2,65,Dieselstr 47803 Nordrhein-Westfalen - Krefeld,2017,80,Etagenwohnung,08,14.08.2017,Balkon Badewanne Dusche Altbau Keller,700005680,Ölheizung,65
1.050,1.500,2,95,Turnerstr. 167 69126 Baden-Württemberg - Heidelberg,2017,150,Etagenwohnung,10,14.08.2017,Balkon Einbauküche Badewanne Altbau Dachboden,700005847,Zentralheizung,95
1.155,1.900,,65,Dornach              Jägerweg 17 85609 Kr. München - Aschheim,2017,,,12,14.08.2017,Balkon Badewanne Dusche Neubau Keller Garage/Stellplatz,700005856,Fußbodenheizung,65
820,1.320,2,74,Alma-Rogge-Straße 16 26131 Niedersachsen - Oldenburg,2017,,Dachgeschosswohnung,09,14.08.2017,Balkon Einbauküche Badewanne Dusche Gäste WC Keller,700006223,Gasheizung,74
,1.300,2,54,Hamburger Str. 18069 Rostock - Reutershagen,2017,,Etagenwohnung,09,10.07.2017,Einbauküche Dusche Keller Garage/Stellplatz WG-geeignet,681062740,Gasheizung,54
650,1.300,3,65,Lange Straße 20 18055 Rostock - Stadtmitte,2017,,Etagenwohnung,10,08.08.2017,Möbliert/Teilmöbliert Einbauküche Badewanne Altbau Keller Dachboden WG-geeignet,696675792,Fernwärme,65
440,680,2,70,Wartburgstr. 33a 44579 Nordrhein-Westfalen - Castrop-Rauxel,2017,100,Etagenwohnung,10,10.08.2017,Balkon Einbauküche Badewanne Dusche Neubau Keller Dachboden Garage/Stellplatz Haustiere erlaubt,697311836,Zentralheizung,70
